,Uniprot,Gene_Name,RBP_flag,SVM_SeqOnly_score,DNN_SeqOnly_score,Network_score_MB,Network_score_MB_STRING,optimistic_DNN_SVM,optimistic_DNNSVM_NetMB_STRING,protein_len,Ensembl Gene ID
18,Q969P6,TOP1MT,0,0.912861076,0.44860142,0.849756904,0.954267571,0.849150407,0.987314026,601,ENSG00000184428
19,Q96F63,CCDC97,0,0.26565928,0.114123404,0.899251884,0.97624864,0.519693779,0.984550747,343,ENSG00000142039
20,P54819,AK2,0,0.924884049,0.13158865,0.952823905,0.947151286,0.832184857,0.984477676,239,ENSG00000004455
21,Q96C90,PPP1R14B,0,0.580597835,0.19285946,0.916990401,0.971824676,0.660307395,0.984252146,147,ENSG00000173457
22,Q02539,HIST1H1A,0,0.867473585,0.96538025,0.89550923,0.892271614,0.915659871,0.981641279,215,ENSG00000124610
23,Q6P3X3,TTC27,0,0.381459749,0.03288457,0.814263019,0.973094839,0.529843968,0.98133266,843,ENSG00000018699
24,Q8WX92,NELFB,0,0.777415969,0.55845726,0.906742069,0.958807736,0.765066637,0.981099913,580,ENSG00000188986
25,O15131,KPNA5,0,0.896348006,0.7359736,0.871029843,0.934103512,0.845688729,0.980736302,536,ENSG00000196911
26,P35249,RFC4,0,0.682108483,0.24137045,0.934192064,0.961609287,0.697088602,0.979856564,363,ENSG00000163918
27,Q8TF72,SHRM3,0,0.106710685,0.45360857,0.925733894,0.968802292,0.559194329,0.979802621,1996,ENSG00000138771
28,Q8NFH4,NUP37,0,0.487363727,0.03584866,0.935937322,0.969958397,0.564559899,0.979762809,326,ENSG00000075188
29,B7Z7T5,UBP7,0,0.679641665,0.9360981,0.928537251,0.925057758,0.855137101,0.979478661,799,
30,V9HWB8,HEL-S-30,0,0.989750124,0.6512056,0.13551444,0.161893072,0.965465386,0.979080957,531,
31,Q86V59,PNMA8A,0,0.973909348,0.90215325,0.248680611,0.19284167,0.966596669,0.979001288,439,ENSG00000182013
32,E7EPI0,,0,0.665617319,0.70264643,0.972671865,0.95655107,0.733460572,0.978890241,1338,ENSG00000005700
33,Q99986,VRK1,0,0.790667469,0.70607615,0.870316194,0.942128398,0.786622716,0.978805341,396,ENSG00000100749
34,Q5M9Q1,NKAPL,0,0.543516492,0.8264515,0.881181004,0.955531067,0.722528445,0.978525096,402,ENSG00000189134
35,P51571,SSR4,0,0.018596195,0.0289305,0.861829443,0.974160265,0.399047682,0.978186739,173,ENSG00000180879
36,P23368,ME2,0,0.789947256,0.51462895,0.942302231,0.943973683,0.770100108,0.97784831,584,ENSG00000082212
37,Q92733,PRCC,0,0.221815691,0.5549771,0.801453186,0.965155372,0.601974354,0.977612096,491,ENSG00000143294
38,Q9NW08,RPC2,0,0.754342433,0.66817254,0.840468355,0.944561949,0.765578435,0.977536808,1133,ENSG00000013503
39,E9PD53,,0,0.793126513,0.9080053,0.928537251,0.925057758,0.842688064,0.977412571,1263,ENSG00000113810
40,Q96RQ3,MCCC1,0,0.963136624,0.82483447,0.892504616,0.867078487,0.924950766,0.977194276,725,ENSG00000078070
41,Q969X0,RILPL2,0,0.545700308,0.7318329,0.785560537,0.957298959,0.705711989,0.977051199,211,ENSG00000150977
42,Q9Y5B6,PAXBP1,0,0.783922454,0.22294849,0.930399049,0.945493133,0.746064047,0.976658531,917,ENSG00000159086
43,P18858,LIG1,0,0.756129563,0.7609249,0.904115778,0.939899633,0.779434102,0.976513124,919,ENSG00000105486
44,Q99829,CPNE1,0,0.640770038,0.17693272,0.895865622,0.956573707,0.679076509,0.975571078,537,ENSG00000214078
45,Q8NFH3,NUP43,0,0.065538644,0.16431324,0.89271539,0.963355019,0.50552247,0.974859117,380,ENSG00000120253
46,P21108,PRPS1L1,0,0.692817256,0.043495297,0.915746931,0.960184689,0.65218285,0.97444084,318,ENSG00000229937
47,Q9NVH0,EXD2,0,0.255865521,0.12274928,0.923366189,0.963078776,0.517991259,0.974228569,621,ENSG00000081177
48,O75934,BCAS2,0,0.148635127,0.14802992,0.752341934,0.964186316,0.489432399,0.974106426,225,ENSG00000116752
49,O14715,RGPD8,0,0.357040905,0.5888895,0.86533269,0.958015316,0.635870849,0.973901556,1765,ENSG00000169629
50,Q96NB3,ZNF830,0,0.5,0.25754094,0.945876652,0.960409059,0.635487147,0.973799598,372,ENSG00000198783
51,O60516,EIF4EBP3,0,0.105962597,0.1139608,0.952415842,0.964700835,0.471475074,0.973443548,100,ENSG00000243056
52,Q9HBD4,,0,0.5124943,0.75036395,0.970653869,0.944763679,0.700620902,0.973086317,1679,ENSG00000127616
53,Q8NB50,ZFP62,0,0.049121999,0.061312187,0.971489817,0.963818537,0.435185075,0.972697509,900,ENSG00000196670
54,B4DLN1,DIC,0,0.3106842,0.41146767,0.900316891,0.956492829,0.60540991,0.972118442,442,ENSG00000262660
55,Q8NEP3,DNAAF1,0,0.37260314,0.22134899,0.977620985,0.958393595,0.599466809,0.972041278,725,ENSG00000154099
56,P39656,DDOST,0,0.240341729,0.012924627,0.869911814,0.962286598,0.47685503,0.971970557,456,ENSG00000244038
57,Q8N752,CSNK1A1L,0,0.861537184,0.8210283,0.840814492,0.910503765,0.836712867,0.971840755,337,ENSG00000180138
58,O00472,ELL2,0,0.924669947,0.91551906,0.712231683,0.843877284,0.910563976,0.971745573,640,ENSG00000118985
59,Q99877,HIST1H2BN,0,0.529092842,0.07288532,0.962082054,0.960618194,0.595383841,0.971651327,126,ENSG00000233822
60,O75312,ZPR1,0,0.580982911,0.24805078,0.740802579,0.951125885,0.666442377,0.971648622,459,ENSG00000109917
61,Q7L7X3,TAOK1,0,0.559899992,0.25996748,0.933830138,0.951419716,0.65945913,0.97125825,1001,ENSG00000160551
62,P34931,HSPA1L,0,0.925125756,0.9159164,0.716693557,0.837394327,0.910709918,0.970474255,641,ENSG00000204390
63,A3KN83,SBNO1,0,0.83010513,0.77038795,0.912520129,0.92068106,0.816193961,0.970431689,1393,ENSG00000139697
64,P19387,POLR2C,0,0.693927251,0.24063905,0.854869745,0.938368218,0.702528392,0.969804368,275,ENSG00000102978
65,Q53HB3,PRS4,0,0.978600449,0.87626576,0.165090626,0.209379526,0.962005212,0.969728667,440,
66,Q9Y5H9,PCDHA2,0,0.074619869,0.46587104,0.878890878,0.958990383,0.549793462,0.969265331,948,ENSG00000204969
67,Q9BQL6,FERMT1,0,0.115536181,0.8149325,0.941609567,0.945336182,0.627745261,0.969197765,677,ENSG00000101311
68,P40938,RFC3,0,0.279551542,0.63697857,0.911692871,0.94554819,0.625908507,0.96906353,356,ENSG00000133119
69,Q9H6T3,RPAP3,0,0.936486224,0.65271074,0.639031651,0.877621339,0.87752272,0.968869119,665,ENSG00000005175
70,Q96HY7,DHTKD1,0,0.439749867,0.47798195,0.920064713,0.943947388,0.641609241,0.968751892,919,ENSG00000181192
71,Q7Z3B4,NUP54,0,0.864536808,0.06320827,0.666674275,0.929366292,0.765813409,0.968744241,507,ENSG00000138750
72,O95757,HSPA4L,0,0.72928394,0.8894561,0.885687624,0.921552126,0.806399292,0.968728612,839,ENSG00000164070
73,P35250,RFC2,0,0.427787837,0.24820867,0.922670086,0.949770959,0.614780575,0.968709188,354,ENSG00000049541
74,P32322,PYCR1,0,0.427316015,0.2759791,0.94071761,0.946258261,0.616881015,0.968238777,319,ENSG00000183010
75,P20671,HIST1H2AD,0,0.759233596,0.1464555,0.95015263,0.937523071,0.703345126,0.968207782,130,ENSG00000196866
76,P78559,MAP1A,0,0.173336141,0.9454973,0.747693954,0.912168333,0.808404351,0.967955195,2803,ENSG00000166963
77,Q13356,PPIL2,0,0.978776453,0.6439497,0.340059542,0.648345234,0.953045329,0.96717811,520,ENSG00000100023
78,Q9UNL2,SSR3,0,0.021523387,0.08760252,0.775489145,0.960989645,0.42660371,0.967104654,185,ENSG00000114850
79,Q7Z4W8,,0,0.914923314,0.8668983,0.729417397,0.865862219,0.881278289,0.966897811,128,
80,Q9BUV0,RSRP1,0,0.668516366,0.77232885,0.595111211,0.933548644,0.747013188,0.966726898,290,ENSG00000117616
81,Q8IXQ6,PARP9,0,0.138950677,0.42594817,0.953019616,0.953242234,0.564789974,0.966593159,854,ENSG00000138496
82,Q5TA31,RNF187,0,0.674285627,0.13044639,0.844280409,0.93886898,0.656007597,0.96603934,235,ENSG00000168159
83,Q8TC84,FANK1,0,0.059587675,0.06911898,0.915208292,0.955930885,0.442164645,0.965631253,345,ENSG00000203780
84,O60814,HIST1H2BK,0,0.602742946,0.07271451,0.950607154,0.940377575,0.623142216,0.9649613,126,ENSG00000197903
85,Q9P0M2,AKAP7,0,0.873326286,0.3411906,0.93270991,0.901197779,0.811561033,0.964808019,348,ENSG00000118507
86,P13984,GTF2F2,0,0.846948113,0.4967178,0.669235892,0.904939997,0.802279241,0.964368544,249,ENSG00000188342
87,Q96N46,TTC14,0,0.649189025,0.5507908,0.957303329,0.933676618,0.714175922,0.963745727,770,ENSG00000163728
88,Q9Y2H5,PKHA6,0,0.796886938,0.7785511,0.903310449,0.907536091,0.797152994,0.963591671,1048,ENSG00000143850
89,Q9H799,CE042,0,0.189374342,0.2792337,0.919256155,0.942999432,0.561454077,0.963016142,3197,ENSG00000197603
90,Q9NVI7,ATAD3A,0,0.492633332,0.49086252,0.863152541,0.936278628,0.657094559,0.962801705,634,ENSG00000197785
91,Q9Y4E6,WDR7,0,0.747452871,0.16780284,0.861753031,0.928187172,0.720184953,0.96273524,1490,ENSG00000091157
92,Q14558,PRPSAP1,0,0.349394966,0.2182436,0.853999231,0.938215359,0.593247342,0.962294648,356,ENSG00000161542
93,Q9NPG3,UBN1,0,0.536541683,0.76023954,0.834109843,0.930413153,0.707562441,0.962181434,1134,ENSG00000118900
94,Q9BZL1,UBL5,0,0.863316865,0.11804864,0.844739347,0.922085696,0.7682967,0.961987601,73,ENSG00000198258
95,P78549,NTHL1,0,0.080346501,0.36914665,0.880874816,0.94321774,0.541133803,0.961780111,312,ENSG00000065057
96,A0A024RC46,hCG_2020860,0,0.945898241,0.9666526,0.445536245,0.674784113,0.945178607,0.961398731,320,
97,A8K6I4,SK2L2,0,0.963145802,0.8193778,0.745030997,0.775286587,0.924804976,0.961365383,1042,
98,Q4KMP7,TBC1D10B,0,0.103472616,0.5693143,0.943067524,0.939872494,0.574137204,0.96124413,808,ENSG00000169221
99,O95036,WUGSC:H_RG054D04.1,0,0.950594949,0.65947545,0.644871814,0.822544376,0.895826588,0.961134121,247,
100,Q49A26,GLYR1,0,0.968662333,0.78579116,0.609173094,0.571775869,0.950140001,0.960975311,553,ENSG00000140632
101,Q9NQS1,AVEN,0,0.893135494,0.9478257,0.829861279,0.767202322,0.924502786,0.960241818,362,ENSG00000169857
102,E9PLD3,CK098,0,0.955170552,0.43300244,0.801134682,0.816284572,0.895301115,0.960135352,99,ENSG00000255432
103,P45378,TNNT3,0,0.975041061,0.7847666,0.20736752,0.186670142,0.956041581,0.960053819,269,ENSG00000130595
104,Q9NYL4,FKBP11,0,0.388083695,0.27678314,0.670927892,0.936309857,0.608800537,0.959504407,201,ENSG00000134285
105,Q13685,AAMP,0,0.715573526,0.13782506,0.763980891,0.92900623,0.676980774,0.958911596,434,ENSG00000127837
106,Q9H9T3,ELP3,0,0.757473312,0.61905104,0.776197429,0.909348946,0.763718539,0.958534131,547,ENSG00000134014
107,Q9HBI1,PARVB,0,0.095554532,0.19745815,0.949047354,0.938337575,0.522605255,0.958276764,364,ENSG00000188677
108,Q8N543,OGFOD1,0,0.094282588,0.56489044,0.733482298,0.937231033,0.570088187,0.958019514,542,ENSG00000087263
109,Q68DK7,MSL1,0,0.078230881,0.06090901,0.812920445,0.942404265,0.449945803,0.957863497,614,ENSG00000188895
110,Q15650,TRIP4,0,0.5,0.5336198,0.87228139,0.927606067,0.661964617,0.9573559,581,ENSG00000103671
111,P51784,USP11,0,0.48830462,0.33503538,0.78615602,0.932281363,0.641900755,0.957327802,963,ENSG00000102226
112,B7Z722,TPM1,0,0.103066475,0.12897871,0.893835694,0.941336026,0.471966684,0.957235503,248,
113,P12829,MYL4,0,0.83656641,0.29077682,0.926917878,0.900722138,0.784083098,0.957059303,197,ENSG00000198336
114,P09104,ENO2,0,0.827767819,0.60972744,0.869768529,0.892894986,0.80032645,0.95634036,434,ENSG00000111674
115,Q5JVF3,PCID2,0,0.340959468,0.6621069,0.879038321,0.930477108,0.640644957,0.95615792,399,ENSG00000126226
116,Q0VDF9,HSPA14,0,0.721876342,0.37176841,0.87537613,0.922027347,0.725422469,0.955952227,509,ENSG00000187522
117,O00479,HMGN4,0,0.948643761,0.7840841,0.680279725,0.790490289,0.900586228,0.95583082,90,ENSG00000182952
118,Q99536,VAT1,0,0.963198455,0.1326321,0.890150049,0.796648481,0.893798633,0.955782672,393,ENSG00000108828
119,Q9BW85,CCDC94,0,0.743890711,0.69610685,0.546769944,0.901400912,0.760852805,0.955628713,323,ENSG00000105248
120,B4DRT3,,0,0.97955709,0.64355856,0.277304642,0.467373416,0.951913891,0.95558704,511,
121,O43837,IDH3B,0,0.5,0.931807,0.841346905,0.882367747,0.814738417,0.95555989,385,ENSG00000101365
122,P58876,HIST1H2BD,0,0.626398308,0.07394075,0.936297885,0.926962154,0.634377438,0.955555652,126,ENSG00000158373
123,Q9Y5V0,ZNF706,0,0.849130764,0.93548125,0.464161519,0.787593985,0.900621121,0.955223802,76,ENSG00000120963
124,Q9NRF8,CTPS2,0,0.458745076,0.30737984,0.842710274,0.927466675,0.631243215,0.955100432,586,ENSG00000047230
125,Q15019,9/2/2019 0:00,0,0.877137923,0.13494465,0.90914917,0.897316844,0.784046694,0.954814923,361,ENSG00000168385
126,B4DHC4,1433G,0,0.469967262,0.6530609,0.928537251,0.925057758,0.668930327,0.95403521,225,
127,P38117,ETFB,0,0.965725003,0.6563815,0.687166419,0.69677658,0.936109659,0.953968416,255,ENSG00000105379
128,Q13367,AP3B2,0,0.703249504,0.6339102,0.907139962,0.907454783,0.740732532,0.953836469,1082,ENSG00000103723
129,P52926,HMGA2,0,0.701433422,0.39605904,0.894973964,0.912058213,0.720428642,0.953702173,109,ENSG00000149948
130,Q58FF8,HSP90AB2P,0,0.858514602,0.57975423,0.930937021,0.879349329,0.81184463,0.953382035,381,
131,Q9BTM1,H2AFJ,0,0.717346488,0.15311654,0.932378087,0.914564764,0.705240676,0.952800879,129,ENSG00000246705
132,Q6UXN9,WDR82,0,0.769876917,0.07413666,0.875314189,0.917589529,0.70260092,0.952304992,313,ENSG00000164091
133,Q9H5V9,CXorf56,0,0.880998564,0.59762377,0.870129092,0.864594609,0.828004246,0.951484558,222,ENSG00000018610
134,Q5VW32,BROX,0,0.434634665,0.42318848,0.958324043,0.925430884,0.634222905,0.951099596,411,ENSG00000162819
135,O15173,PGRMC2,0,0.204198791,0.35083953,0.783882188,0.930661563,0.577319979,0.95097992,223,ENSG00000164040
136,Q5QNW6,HIST2H2BF,0,0.753564253,0.06095105,0.945363483,0.914007549,0.691293079,0.950815291,126,ENSG00000203814
137,O95801,TTC4,0,0.931222188,0.14798354,0.641253283,0.851917088,0.839647675,0.950269166,387,ENSG00000243725
138,Q8IXQ4,GPALPP1,0,0.823353807,0.9588622,0.784552181,0.714153899,0.909772689,0.949989011,340,ENSG00000133114
139,Q14568,HSP90AA2P,0,0.790983067,0.94138515,0.609048094,0.779549482,0.888082941,0.949920225,343,
140,P48448,ALDH3B2,0,0.07627751,0.044344094,0.934942657,0.936697518,0.442356544,0.949186516,385,ENSG00000132746
141,Q99880,HIST1H2BL,0,0.633696945,0.065572575,0.914134224,0.922467192,0.634776241,0.948699713,126,ENSG00000185130
142,Q9UDY4,DNAJB4,0,0.839606126,0.36612502,0.749455865,0.882223553,0.789536601,0.94865606,337,ENSG00000162616
143,Q96TA2,YME1L1,0,0.286157227,0.084025525,0.841357117,0.934311334,0.522004847,0.948627898,773,ENSG00000136758
144,P00367,GLUD1,0,0.752229001,0.6915504,0.887140353,0.893501123,0.765696751,0.948604359,558,ENSG00000148672
145,Q15007,WTAP,0,0.150800061,0.2224681,0.812998244,0.927820958,0.544497794,0.947962268,396,ENSG00000146457
146,Q9HCC0,MCCC2,0,0.528233552,0.42415053,0.915103871,0.915787438,0.662941766,0.947721336,563,ENSG00000131844
147,Q86VH2,KIF27,0,0.386918333,0.85980743,0.888024864,0.903357709,0.701147296,0.947394298,1401,ENSG00000165115
148,O60256,PRPSAP2,0,0.615379379,0.35967535,0.771190496,0.904764524,0.6882729,0.946956548,369,ENSG00000141127
149,Q9ULH7,MKL2,0,0.587579355,0.64032596,0.833632741,0.902582398,0.704394065,0.946725433,1088,ENSG00000186260
150,A4D177,CBX3,0,0.81293919,0.7706835,0.729417397,0.865862219,0.808410068,0.946285941,183,
151,Q6FIG4,RAB1B,0,0.792585782,0.8380278,0.729417397,0.865862219,0.80745164,0.945957585,201,
152,P14649,MYL6B,0,0.863506848,0.18082482,0.909620627,0.874544376,0.79079323,0.945670527,208,ENSG00000196465
153,Q5CAQ5,TRA1,0,0.95690209,0.81952447,0.465478165,0.652212136,0.920479314,0.945246312,802,
154,Q8WUA4,GTF3C2,0,0.169220946,0.11369175,0.874143043,0.930269494,0.491357323,0.945117368,911,ENSG00000115207
155,Q6FGG2,VAMP3,0,0.263881349,0.03040731,0.968154692,0.927154007,0.495752157,0.945095198,100,
156,Q16851,UGP2,0,0.846384749,0.45712337,0.889643391,0.867844035,0.80068012,0.944705183,508,ENSG00000169764
157,Q15843,NEDD8,0,0.931569264,0.15589388,0.731732625,0.811535065,0.852771912,0.944499357,81,ENSG00000129559
158,B3KXU8,CAPR1,0,0.822738734,0.6610044,0.729417397,0.865862219,0.802029942,0.943651486,628,
159,O00533,NCHL1,0,0.172517687,0.6783367,0.957014923,0.919743046,0.604811994,0.9435071,1208,ENSG00000134121
160,P48426,PIP4K2A,0,0.869028787,0.6501605,0.890549136,0.848161808,0.822346584,0.943411475,406,ENSG00000150867
161,Q9P0M6,H2AFY2,0,0.752254407,0.26813084,0.933761469,0.892004545,0.733677841,0.942625314,372,ENSG00000099284
162,P62195,PSMC5,0,0.955758913,0.4453384,0.682322083,0.723892563,0.896510168,0.942625047,406,ENSG00000087191
163,Q96HA1,P121A,0,0.728804177,0.45885223,0.587136914,0.894132404,0.733671631,0.942466033,1249,ENSG00000196313
164,P28370,SMCA1,0,0.494369024,0.44487974,0.895671446,0.904134329,0.653643214,0.9422068,1054,ENSG00000102038
165,O95302,FKBP9,0,0.380519401,0.4785954,0.574270945,0.910544155,0.627857391,0.941809705,570,ENSG00000122642
166,A6ND91,ASPDH,0,0.483417943,0.11923003,0.961747504,0.920170551,0.581215671,0.94160974,283,ENSG00000204653
167,Q86W56,PARG,0,0.589094936,0.4060419,0.888908745,0.90069183,0.681847196,0.941379591,976,ENSG00000227345
168,Q9UPE1,SRPK3,0,0.20486765,0.45332414,0.903400446,0.918688517,0.586363332,0.941179612,567,ENSG00000184343
169,Q99550,MPP9,0,0.076292583,0.3597069,0.777270981,0.923533898,0.539104759,0.940948896,1183,ENSG00000051825
170,B4E083,PLK1,0,0.234336281,0.123694316,0.928537251,0.925057758,0.511884122,0.940885597,506,
171,Q86UT8,CCDC84,0,0.528825119,0.020999297,0.949137451,0.921080341,0.575291757,0.940840475,332,ENSG00000186166
172,P25685,DNAJB1,0,0.814245101,0.5749575,0.743938842,0.865827594,0.792323492,0.940577873,340,ENSG00000132002
173,P40937,RFC5,0,0.214598412,0.23597866,0.869969387,0.922177164,0.562428413,0.94046147,340,ENSG00000111445
174,Q9BTV4,TMEM43,0,0.227350611,0.04147717,0.794890023,0.925799264,0.491718195,0.940072475,400,ENSG00000170876
175,Q9BXI6,TBC1D10A,0,0.36512166,0.5101828,0.864132939,0.905422722,0.627570671,0.939893534,508,ENSG00000099992
176,Q6PCB5,RSBN1L,0,0.811378542,0.050294045,0.934131867,0.887043963,0.730245413,0.939676382,846,ENSG00000187257
177,Q96NN9,AIFM3,0,0.975892552,0.25198057,0.256810414,0.187656672,0.950713962,0.939563229,605,ENSG00000183773
178,Q96KR7,PHACTR3,0,0.307315998,0.74367523,0.781921174,0.90103545,0.65303119,0.93952523,559,ENSG00000087495
179,Q99878,HIST1H2AJ,0,0.604154584,0.14283085,0.909005035,0.903022435,0.631009735,0.93856405,128,ENSG00000276368
180,Q8NDX9,LY6G5B,0,0.005741868,0.023296233,0.966707775,0.927471149,0.385657869,0.938497583,201,ENSG00000240053
181,P55345,PRMT2,0,0.470807912,0.054137047,0.516453136,0.915454498,0.568175282,0.938486375,433,ENSG00000160310
182,A8K146,XPC,0,0.930103052,0.9349813,0.333402827,0.542253772,0.93203749,0.938288105,940,
183,P22492,HIST1H1T,0,0.892014419,0.65348446,0.895503635,0.816535842,0.839267754,0.938238609,207,ENSG00000187475
184,Q05DH1,PSMA7,0,0.851038755,0.65242386,0.683672879,0.842230562,0.815920784,0.93823858,238,
185,Q8NCN5,PDPR,0,0.395954778,0.083376825,0.8317515,0.916227283,0.551806101,0.937629771,879,ENSG00000090857
186,P54840,GYS2,0,0.257077283,0.5072249,0.876059496,0.906769296,0.603783185,0.93758325,703,ENSG00000111713
187,P67870,CSNK2B,0,0.17928209,0.07060633,0.718061898,0.923272076,0.4878877,0.937330609,215,ENSG00000204435
188,Q53HV2,TCPH,0,0.707614379,0.86418444,0.729417397,0.865862219,0.782999833,0.937233547,543,
189,Q9NVM9,INTS13,0,0.456625303,0.510536,0.945679306,0.899602778,0.650252834,0.937110192,706,ENSG00000064102
190,Q9HC38,GLOD4,0,0.977047786,0.11703155,0.607293722,0.471614012,0.940768264,0.937054566,313,ENSG00000167699
191,Q6ZTI3,,0,0.746260262,0.82476693,0.729417397,0.865862219,0.781305088,0.937029987,423,
192,P06746,POLB,0,0.914636189,0.91424406,0.558049763,0.663431999,0.90254073,0.936691548,335,ENSG00000070501
193,P06899,HIST1H2BJ,0,0.650256468,0.065598905,0.88933031,0.899876599,0.641546544,0.936227477,126,ENSG00000124635
194,Q9HAV7,GRPEL1,0,0.62324372,0.36632398,0.860605082,0.895227637,0.692319517,0.936103803,217,ENSG00000109519
195,P67812,SEC11A,0,0.51214707,0.106761195,0.5,0.904902956,0.593471176,0.935984133,179,ENSG00000140612
196,Q96HS1,PGAM5,0,0.443757884,0.086452596,0.91240898,0.911705188,0.565429128,0.935951601,289,ENSG00000247077
197,Q96SB8,SMC6,0,0.824495693,0.49621806,0.818572588,0.856031891,0.791488193,0.93544586,1091,ENSG00000163029
198,Q9UHN1,POLG2,0,0.345681382,0.014489211,0.586097416,0.920661693,0.508431471,0.935423117,485,ENSG00000256525
199,Q5VXV3,SET,0,0.79713687,0.55622137,0.729417397,0.865862219,0.775157471,0.9353525,290,
200,Q13434,MKRN4P,0,0.443950761,0.48060003,0.899250335,0.898258906,0.642971455,0.935309054,485,
201,Q9NSY1,BMP2K,0,0.076263309,0.24427572,0.835071224,0.918232306,0.522026946,0.935116833,1161,ENSG00000138756
202,O14737,PDCD5,0,0.704693811,0.81511915,0.743834768,0.867096014,0.766685266,0.934899272,125,ENSG00000105185
203,A7E2V4,ZSWM8,0,0.645851526,0.21652952,0.923706087,0.891216133,0.685160622,0.934834178,1837,ENSG00000214655
204,O14958,CASQ2,0,0.861378273,0.42178798,0.939778867,0.842275659,0.804601761,0.934648904,399,ENSG00000118729
205,Q96I99,SUCLG2,0,0.782038232,0.8177558,0.814197011,0.847849429,0.7963562,0.934610207,432,ENSG00000172340
206,P51153,RAB13,0,0.713097724,0.38945127,0.835910626,0.882480343,0.722716277,0.934553634,203,ENSG00000143545
207,Q9UNS1,TIM,0,0.246069826,0.4046714,0.826254134,0.903621253,0.588987273,0.934270148,1208,ENSG00000111602
208,Q9BQE6,LBHD1,0,0.046386359,0.100603975,0.95664792,0.923848211,0.442129715,0.934078243,289,ENSG00000162194
209,Q96AY3,FKBP10,0,0.150119952,0.48443022,0.703777817,0.904787705,0.574856433,0.934050897,582,ENSG00000141756
210,Q9H6Y2,WDR55,0,0.807663879,0.49882925,0.630271424,0.859592037,0.779733488,0.934030699,383,ENSG00000120314
211,Q93077,HIST1H2AC,0,0.730313945,0.15826628,0.863455628,0.884129437,0.709662936,0.933778191,130,ENSG00000180573
212,Q13217,DNAJC3,0,0.907554833,0.9117264,0.519325265,0.67468823,0.894338828,0.933538267,504,ENSG00000102580
213,P26010,ITGB7,0,0.005862277,0.008673193,0.952558462,0.92598968,0.372783458,0.932842723,798,ENSG00000139626
214,Q9BRT9,GINS4,0,0.132332653,0.12552632,0.825476129,0.919929457,0.481693351,0.932824031,223,ENSG00000147536
215,P49448,GLUD2,0,0.918821536,0.6350589,0.703392959,0.761832061,0.861949485,0.932739554,558,ENSG00000182890
216,Q9H6S3,EPS8L2,0,0.702922139,0.7240029,0.653277986,0.869098773,0.751838677,0.932443597,715,ENSG00000177106
217,D3DPS3,RPRC1,0,0.90543007,0.67587036,0.745030997,0.775286587,0.849152046,0.932068118,840,
218,Q6ULP2,AFTPH,0,0.200590491,0.21479075,0.893692134,0.904463286,0.557979171,0.932028724,937,ENSG00000119844
219,P37837,TALDO1,0,0.402418284,0.12772588,0.897520434,0.90462268,0.557948882,0.932028724,337,ENSG00000177156
220,P30613,PKLR,0,0.954045074,0.39912012,0.581724362,0.663132605,0.894089261,0.932011109,574,ENSG00000143627
